accessed date,accessed datetime,time,time (bin),Day of the month,Day of the Week,Day Name,Weekend,Month,Month Name,SDoH,PHQ9,CAGE-AID,GAD7,Total Websites,SDoH Percentage,PHQ9 Percentage,CAGE-AID Percentage,GAD7 Percentage
1/27/2025,2025-01-27T20:04:34.2743440,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:04:45.9995000,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:05:38.6661850,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:06:23.8924930,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:06:36.7664540,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:08:59.7830390,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:09:00.0695150,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:09:33.3312650,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:09:39.7363280,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:09:39.7455380,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:42:44.1287080,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:44:19.3138040,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:44:29.8783870,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:44:57.1206480,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:55:29.3069530,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T20:55:35.1974480,20,12PM to 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T21:10:28.0698990,21,After 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T21:18:06.9058700,21,After 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T21:32:59.4805270,21,After 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/27/2025,2025-01-27T21:33:18.0551810,21,After 8PM,27,1,Monday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:51:40.4089900,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
1/28/2025,2025-01-28T19:51:47.2770600,19,12PM to 8PM,28,2,Tuesday,No,1,January,0,0,0,0,1,0,0,0,0
