accessed datetime,year,month name,month number,day of month,weekday number,weekday name,weekend (y/n),hour,Hour (bins),Hour (for bin use),PHQ-9 (Sum by day),GAD-7 (Sum by day),SDoH (Sum by day),CAGE-AID (Sum by day),Total Websites (Sum by day),PHQ-9 Daily Sum / Website Sum,SDoH Daily Sum / Website Sum,GAD-7 Daily Sum / Website Sum,CAGE-AID Daily Sum / Website Sum
2025-04-24T00:04:25.4690000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.4,0,0,0,0,1,0,0,0,0
2025-04-24T00:04:32.8940000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.4,0,0,0,0,1,0,0,0,0
2025-04-24T00:04:43.0730000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.4,0,0,0,0,1,0,0,0,0
2025-04-24T00:04:44.1830000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.4,0,0,0,0,1,0,0,0,0
2025-04-24T00:04:48.1300000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.4,0,0,0,0,1,0,0,0,0
2025-04-24T00:04:55.1840000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.4,0,0,0,0,1,0,0,0,0
2025-04-24T00:04:56.3650000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.4,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:00.0600000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:04.2770000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:09.3480000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:12.1450000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:21.4380000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:24.6510000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:27.4870000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:28.5360000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:29.5610000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
2025-04-24T00:05:30.7160000,2025,April,4,24,4,Thursday,No,0,Before 6AM,0.5,0,0,0,0,1,0,0,0,0
